{1 JetEta 0 None ScaleFactor}
-5.191 -3.139 3 1.0760 0.9269 1.2252
-3.139 -2.964 3 1.2063 1.1245 1.2880
-2.964 -2.853 3 2.1285 1.8189 2.4381
-2.853 -2.650 3 2.2087 1.9223 2.4952
-2.650 -2.500 3 1.8381 1.5202 2.1559
-2.500 -2.322 3 1.2874 1.2258 1.3490
-2.322 -2.043 3 1.1827 1.0517 1.3136
-2.043 -1.930 3 1.1388 1.0984 1.1793
-1.930 -1.740 3 1.1175 1.0778 1.1571
-1.740 -1.305 3 1.1432 1.0771 1.2093
-1.305 -1.131 3 1.1491 1.0815 1.2166
-1.131 -0.783 3 1.1340 1.0810 1.1870
-0.783 -0.522 3 1.1808 1.1640 1.1977
-0.522 -0.000 3 1.1639 1.1327 1.1950
0.000 0.522 3 1.1639 1.1327 1.1950
0.522 0.783 3 1.1808 1.1640 1.1977
0.783 1.131 3 1.1340 1.0810 1.1870
1.131 1.305 3 1.1491 1.0815 1.2166
1.305 1.740 3 1.1432 1.0771 1.2093
1.740 1.930 3 1.1175 1.0778 1.1571
1.930 2.043 3 1.1388 1.0984 1.1793
2.043 2.322 3 1.1827 1.0517 1.3136
2.322 2.500 3 1.2874 1.2258 1.3490
2.500 2.650 3 1.8381 1.5202 2.1559
2.650 2.853 3 2.2087 1.9223 2.4952
2.853 2.964 3 2.1285 1.8189 2.4381
2.964 3.139 3 1.2063 1.1245 1.2880
3.139 5.191 3 1.0760 0.9269 1.2252
